date_day,n_msgs,n_msgs_ma7
2024-01-23 00:00:00+00:00,24,38.57142857142857
2024-01-24 00:00:00+00:00,26,37.285714285714285
2024-01-25 00:00:00+00:00,29,28.428571428571427
2024-01-26 00:00:00+00:00,27,26.428571428571427
2024-01-27 00:00:00+00:00,7,20.142857142857142
2024-01-28 00:00:00+00:00,14,20.285714285714285
2024-01-29 00:00:00+00:00,20,21.0
2024-01-30 00:00:00+00:00,28,21.571428571428573
2024-01-31 00:00:00+00:00,24,21.285714285714285
2024-02-01 00:00:00+00:00,6,18.0
2024-02-02 00:00:00+00:00,18,16.714285714285715
2024-02-03 00:00:00+00:00,4,16.285714285714285
2024-02-04 00:00:00+00:00,8,15.428571428571429
2024-02-05 00:00:00+00:00,17,15.0
2024-02-06 00:00:00+00:00,7,12.0
2024-02-07 00:00:00+00:00,10,10.0
2024-02-08 00:00:00+00:00,12,10.857142857142858
2024-02-09 00:00:00+00:00,13,10.142857142857142
2024-02-10 00:00:00+00:00,5,10.285714285714286
2024-02-11 00:00:00+00:00,14,11.142857142857142
2024-02-12 00:00:00+00:00,4,9.285714285714286
2024-02-13 00:00:00+00:00,16,10.571428571428571
2024-02-14 00:00:00+00:00,12,10.857142857142858
2024-02-15 00:00:00+00:00,1,9.285714285714286
2024-02-16 00:00:00+00:00,12,9.142857142857142
2024-02-17 00:00:00+00:00,7,9.428571428571429
2024-02-18 00:00:00+00:00,8,8.571428571428571
2024-02-19 00:00:00+00:00,11,9.571428571428571
2024-02-20 00:00:00+00:00,9,8.571428571428571
2024-02-21 00:00:00+00:00,6,7.714285714285714
2024-02-22 00:00:00+00:00,14,9.571428571428571
2024-02-23 00:00:00+00:00,11,9.428571428571429
2024-02-24 00:00:00+00:00,4,9.0
2024-02-25 00:00:00+00:00,19,10.571428571428571
2024-02-26 00:00:00+00:00,4,9.571428571428571
2024-02-27 00:00:00+00:00,11,9.857142857142858
2024-02-28 00:00:00+00:00,16,11.285714285714286
2024-02-29 00:00:00+00:00,6,10.142857142857142
2024-03-01 00:00:00+00:00,16,10.857142857142858
2024-03-02 00:00:00+00:00,3,10.714285714285714
2024-03-03 00:00:00+00:00,6,8.857142857142858
2024-03-04 00:00:00+00:00,4,8.857142857142858
2024-03-05 00:00:00+00:00,5,8.0
2024-03-06 00:00:00+00:00,7,6.714285714285714
2024-03-07 00:00:00+00:00,11,7.428571428571429
2024-03-08 00:00:00+00:00,11,6.714285714285714
2024-03-09 00:00:00+00:00,3,6.714285714285714
2024-03-10 00:00:00+00:00,2,6.142857142857143
2024-03-11 00:00:00+00:00,4,6.142857142857143
2024-03-12 00:00:00+00:00,19,8.142857142857142
2024-03-13 00:00:00+00:00,6,8.0
2024-03-14 00:00:00+00:00,7,7.428571428571429
2024-03-15 00:00:00+00:00,7,6.857142857142857
2024-03-16 00:00:00+00:00,17,8.857142857142858
2024-03-17 00:00:00+00:00,5,9.285714285714286
2024-03-18 00:00:00+00:00,2,9.0
2024-03-19 00:00:00+00:00,26,10.0
2024-03-20 00:00:00+00:00,13,11.0
2024-03-21 00:00:00+00:00,11,11.571428571428571
2024-03-22 00:00:00+00:00,2,10.857142857142858
2024-03-23 00:00:00+00:00,2,8.714285714285714
2024-03-24 00:00:00+00:00,1,8.142857142857142
2024-03-25 00:00:00+00:00,2,8.142857142857142
2024-03-26 00:00:00+00:00,8,5.571428571428571
2024-03-27 00:00:00+00:00,2,4.0
2024-03-28 00:00:00+00:00,4,3.0
2024-03-29 00:00:00+00:00,2,3.0
2024-03-30 00:00:00+00:00,2,3.0
2024-03-31 00:00:00+00:00,1,3.0
2024-04-01 00:00:00+00:00,3,3.142857142857143
2024-04-02 00:00:00+00:00,10,3.4285714285714284
2024-04-03 00:00:00+00:00,38,8.571428571428571
2024-04-04 00:00:00+00:00,37,13.285714285714286
2024-04-05 00:00:00+00:00,11,14.571428571428571
2024-04-06 00:00:00+00:00,81,25.857142857142858
2024-04-07 00:00:00+00:00,62,34.57142857142857
