community,topic,count,pct
0.0,0,54,0.32727272727272727
0.0,3,40,0.24242424242424243
0.0,4,24,0.14545454545454545
0.0,7,16,0.09696969696969697
0.0,8,9,0.05454545454545454
0.0,5,5,0.030303030303030304
0.0,6,5,0.030303030303030304
0.0,11,4,0.024242424242424242
0.0,1,3,0.01818181818181818
0.0,9,2,0.012121212121212121
0.0,10,2,0.012121212121212121
0.0,2,1,0.006060606060606061
1.0,0,1,1.0
2.0,3,686,0.47375690607734805
2.0,6,197,0.13604972375690608
2.0,7,173,0.11947513812154696
2.0,0,130,0.08977900552486189
2.0,1,73,0.05041436464088398
2.0,11,68,0.04696132596685083
2.0,8,61,0.04212707182320442
2.0,9,26,0.017955801104972375
2.0,10,13,0.008977900552486187
2.0,4,9,0.006215469613259668
2.0,2,7,0.004834254143646409
2.0,5,5,0.003453038674033149
3.0,3,29,0.4027777777777778
3.0,10,11,0.1527777777777778
3.0,0,8,0.1111111111111111
3.0,9,5,0.06944444444444445
3.0,4,4,0.05555555555555555
3.0,6,4,0.05555555555555555
3.0,8,4,0.05555555555555555
3.0,1,2,0.027777777777777776
3.0,7,2,0.027777777777777776
3.0,11,2,0.027777777777777776
3.0,5,1,0.013888888888888888
4.0,11,115,0.6020942408376964
4.0,0,43,0.225130890052356
4.0,7,12,0.06282722513089005
4.0,3,9,0.04712041884816754
4.0,6,4,0.020942408376963352
4.0,2,2,0.010471204188481676
4.0,4,2,0.010471204188481676
4.0,8,2,0.010471204188481676
4.0,5,1,0.005235602094240838
4.0,9,1,0.005235602094240838
5.0,3,26,0.48148148148148145
5.0,6,6,0.1111111111111111
5.0,7,6,0.1111111111111111
5.0,0,5,0.09259259259259259
5.0,9,5,0.09259259259259259
5.0,1,2,0.037037037037037035
5.0,2,1,0.018518518518518517
5.0,5,1,0.018518518518518517
5.0,8,1,0.018518518518518517
5.0,11,1,0.018518518518518517
6.0,6,1,1.0
7.0,0,6,0.21428571428571427
7.0,3,6,0.21428571428571427
7.0,6,6,0.21428571428571427
7.0,7,4,0.14285714285714285
