community,topic,count,pct
26.0,6,2,0.18181818181818182
26.0,0,1,0.09090909090909091
26.0,4,1,0.09090909090909091
26.0,8,1,0.09090909090909091
27.0,1,38,0.3838383838383838
27.0,3,18,0.18181818181818182
27.0,6,16,0.16161616161616163
27.0,0,6,0.06060606060606061
27.0,7,6,0.06060606060606061
27.0,5,4,0.04040404040404041
27.0,9,3,0.030303030303030304
27.0,11,3,0.030303030303030304
27.0,8,2,0.020202020202020204
27.0,2,1,0.010101010101010102
27.0,4,1,0.010101010101010102
27.0,10,1,0.010101010101010102
28.0,3,23,0.36507936507936506
28.0,9,11,0.1746031746031746
28.0,0,8,0.12698412698412698
28.0,7,5,0.07936507936507936
28.0,8,4,0.06349206349206349
28.0,11,4,0.06349206349206349
28.0,6,3,0.047619047619047616
28.0,4,2,0.031746031746031744
28.0,2,1,0.015873015873015872
28.0,5,1,0.015873015873015872
28.0,10,1,0.015873015873015872
29.0,3,63,0.27876106194690264
29.0,8,30,0.13274336283185842
29.0,0,26,0.11504424778761062
29.0,5,23,0.10176991150442478
29.0,9,19,0.084070796460177
29.0,7,16,0.07079646017699115
29.0,4,12,0.05309734513274336
29.0,6,11,0.048672566371681415
29.0,10,8,0.035398230088495575
29.0,2,7,0.030973451327433628
29.0,11,7,0.030973451327433628
29.0,1,4,0.017699115044247787
30.0,3,112,0.3076923076923077
30.0,9,52,0.14285714285714285
30.0,6,41,0.11263736263736264
30.0,0,28,0.07692307692307693
30.0,1,28,0.07692307692307693
30.0,7,28,0.07692307692307693
30.0,8,27,0.07417582417582418
30.0,4,11,0.03021978021978022
30.0,5,10,0.027472527472527472
30.0,11,10,0.027472527472527472
30.0,2,9,0.024725274725274724
30.0,10,8,0.02197802197802198
32.0,0,2,0.2857142857142857
32.0,11,2,0.2857142857142857
32.0,3,1,0.14285714285714285
32.0,6,1,0.14285714285714285
32.0,7,1,0.14285714285714285
34.0,3,1,1.0
35.0,3,17,0.3617021276595745
35.0,8,7,0.14893617021276595
35.0,6,5,0.10638297872340426
35.0,7,5,0.10638297872340426
35.0,0,3,0.06382978723404255
35.0,1,3,0.06382978723404255
35.0,5,3,0.06382978723404255
35.0,9,2,0.0425531914893617
35.0,2,1,0.02127659574468085
35.0,4,1,0.02127659574468085
38.0,0,1,1.0
39.0,11,1,1.0
40.0,5,1,1.0
