id,date,user,user_id,user_displayname,user_rawDescription,user_created,user_followersCount,user_friendsCount,user_statusesCount,user_favouritesCount,user_listedCount,user_mediaCount,user_location,user_protected,user_verified,user_blue,user_blueType,user_descriptionLinks,user_pinnedIds,lang,rawContent,replyCount,retweetCount,likeCount,quoteCount,bookmarkedCount,conversationId,hashtags,cashtags,mentionedUsers_ids,mentionedUsers_usernames,viewCount,quotedTweet_id,quotedTweet_date,quotedTweet_user_id,quotedTweet_user_username,place,inReplyToTweetId,inReplyToUser,sourceLabel,media_photos_count,media_videos_count,media_animated_count
1812249967123382723,2024-07-13 22:17:16+00:00,Chofito63569841,1443215403812012032,chofito,"después, qué me bloquearon 7 veces, aquí estoy",2021-09-29 14:06:01+00:00,244,243,65239,1726,1,59352,Guatemala,,False,False,,0,,es,"@PEdgar05 @traficogt La diputada roto plas, selebrando que no se aprobó el estado de calamidad https://t.co/l3BjjQVcJm",0,0,0,0,0,1811735702108840177,,,"1257861614340124673,93938886","PEdgar05,traficogt",11.0,,,,,,1811735702108840177,PEdgar05,Twitter for Android,0,1,0
1812249355224490468,2024-07-13 22:14:50+00:00,Chofito63569841,1443215403812012032,chofito,"después, qué me bloquearon 7 veces, aquí estoy",2021-09-29 14:06:01+00:00,244,243,65239,1726,1,59352,Guatemala,,False,False,,0,,es,"@ManfredoGuate @traficogt La diputada roto plas, selebrando que no se aprobó el estado de calamidad https://t.co/5JtrPEgvEl",0,0,0,0,0,1811566371517444405,,,"67033348,93938886","ManfredoGuate,traficogt",9.0,,,,,,1811566371517444405,ManfredoGuate,Twitter for Android,0,1,0
1812248447954608444,2024-07-13 22:11:14+00:00,Chofito63569841,1443215403812012032,chofito,"después, qué me bloquearon 7 veces, aquí estoy",2021-09-29 14:06:01+00:00,244,243,65239,1726,1,59352,Guatemala,,False,False,,0,,qme,@marioquan @traficogt https://t.co/IrVEgfMZIQ,0,0,0,0,0,1811858733586350146,,,"38338771,93938886","marioquan,traficogt",8.0,,,,,,1811858733586350146,marioquan,Twitter for Android,1,0,0
1812231770051625428,2024-07-13 21:04:58+00:00,paolo_970,1967522988,Pablo Garrido,Egresado de la Universidad de San Carlos de Guatemala de la carrera de Licenciatura en  Deportes. . Con 20 años de experiencia en el Deporte de Guatemala.,2013-10-17 20:41:16+00:00,201,737,2119,1057,1,54,Guatemala,,False,False,,0,,es,@ManfredoGuate @traficogt El karma se los va a cobrar a todos y cada uno de esos HDP.!!!,0,0,0,0,0,1811566371517444405,,,"67033348,93938886","ManfredoGuate,traficogt",57.0,,,,,,1811566371517444405,ManfredoGuate,Twitter for Android,0,0,0
1812231054587261026,2024-07-13 21:02:07+00:00,traficogt,93938886,traficoGT,Noticias de ciudad de Guatemala,2009-12-01 20:42:19+00:00,314368,137,52385,3471,291,1292,Guatemala,,False,False,,0,,es,"Deben estar celebrando también que no ha corrido pisto... Y que van tarde para tratar de al menos salir tablas en su ""inversión"" política.",1,0,6,0,0,1812231054587261026,,,,,1696.0,1811566371517444405,2024-07-12 01:00:54+00:00,67033348,ManfredoGuate,,,,Twitter for Android,0,0,0
1811566371517444405,2024-07-12 01:00:54+00:00,ManfredoGuate,67033348,Manfredo Marroquín,Fundador de Acción Ciudadana -AC- Capítulo de Transparencia Internacional -TI- de Guatemala 🇬🇹.,2009-08-19 15:50:50+00:00,44419,608,8906,23092,110,3210,Guatemala,,False,True,,1,,es,🛑 Así celebran los diputados de la bancada Vamos que no se aprobó el estado de Calamidad; mientras que durante su gobierno con Giammattei aprobaron 11 estados de Calamidad dejando en trapos de cucarachas a las carreteras de este país pero haciendo millonarios a varios corruptos. 👀👇🏾,264,491,1133,55,23,1811566371517444405,,,,,81275.0,,,,,,,,Twitter for iPhone,0,1,0
1812212806629953685,2024-07-13 19:49:37+00:00,riveradanziger,34657447,José Rivera Danziger,Docendo discimus,2009-04-23 16:30:44+00:00,371,2080,12001,3939,3,1902,Guatemala,,False,False,,0,,es,"Cuando hay eventos en ""Forum Majadas"" siempre es importante la presencia de @PMTGuatemala1 en puntos más allá del ingreso al lugar...   Ojo @amilcarmontejo @RQuinonezL @muniguate @traficogt #guatemala https://t.co/9qUmaIbag1",0,0,0,0,0,1812212806629953685,guatemala,,"1077045614,372126670,991834302781456384,94355727,93938886","PMTGuatemala1,amilcarmontejo,RQuinonezL,muniguate,traficogt",139.0,,,,,,,,Twitter for Android,1,0,0
1811931858889846887,2024-07-13 01:13:13+00:00,angeln8,352778109,angeln8,VIAL PREOCUPACION,2011-08-11 02:31:16+00:00,8,30,1398,840,0,177,alemania,,False,False,,0,,qme,@PMT_VILLANUEVA @traficogt https://t.co/OzHtYkKRzw,0,0,0,0,0,1811931858889846887,,,"608213660,93938886","PMT_VILLANUEVA,traficogt",127.0,1811931615867592960,2024-07-13 01:12:15+00:00,352778109,angeln8,,,PMT_VILLANUEVA,Twitter for Android,1,0,0
1811931615867592960,2024-07-13 01:12:15+00:00,angeln8,352778109,angeln8,VIAL PREOCUPACION,2011-08-11 02:31:16+00:00,8,30,1398,840,0,177,alemania,,False,False,,0,,es,"@PMT_VILLANUEVA @traficogt  Buenas noches apoyar con agilizar paso km18 puente provisional de sur a norte, parado el tráfico.",0,0,0,1,0,1811931615867592960,,,"608213660,93938886","PMT_VILLANUEVA,traficogt",190.0,,,,,,,PMT_VILLANUEVA,Twitter for Android,0,0,0
1811924785162510442,2024-07-13 00:45:07+00:00,ldubon63,2732768727,Jose Luis Dubon,,2014-08-03 21:54:42+00:00,3,42,808,92,0,1,,,False,False,,0,,es,@RMensoRuin @traficogt Señora ni su ex esposo pudo confiar en ella. Hoy nos quiere engañar pero ya no más. Muerte política a esta representante de la corrupción.,0,1,13,0,0,1811853903895601269,,,"1709771121648619520,93938886","RMensoRuin,traficogt",260.0,,,,,,1811853903895601269,RMensoRuin,Twitter for Android,0,0,0
