account,detected_username,top_terms
traficogt,traficogt,"mas, solo, si, gracias, corruptos, guatemala, tambien, mp, estan, debe, muletas, cc, golpe, ahora, cacif, ser, pacto, pueblo, corrupcion, hacer"
bernardoarevalodeleon,,
